id,subject,topic,difficulty,question,option_1,option_2,option_3,option_4,answer,explanation
108,Medicine,Hematology,4,"In a patient with Multiple Myeloma, the 'M-band' seen on protein electrophoresis is usually composed of:",IgA,IgG,IgM,IgE,IgG,"IgG is the most common monoclonal immunoglobulin (M-protein) produced in Multiple Myeloma, followed by IgA."
109,Medicine,Rheumatology,2,Which of the following joints is characteristically SPARED in Rheumatoid Arthritis?,Metacarpophalangeal (MCP),Proximal Interphalangeal (PIP),Distal Interphalangeal (DIP),Wrist Joint,Distal Interphalangeal (DIP),Rheumatoid Arthritis typically affects MCP and PIP joints; sparing of the DIP joint is a key feature used to differentiate it from Osteoarthritis.
110,Psychiatry,Thought Disorders,2,A patient answers a question with excessive detail and many unnecessary digressions but eventually returns to the point. This is called:,Tangentiality,Circumstantiality,Derailment,Word Salad,Circumstantiality,"In circumstantiality, the patient reaches the goal but with 'over-inclusion' of detail. In tangentiality, they never reach the goal."
111,Dermatology,Psoriasis,3,The development of new psoriatic lesions at the site of trauma (like a scratch) is known as:,Nikolsky sign,Auspitz sign,Koebner phenomenon,Darier sign,Koebner phenomenon,"Koebner phenomenon is the appearance of skin lesions on lines of trauma. It is seen in Psoriasis, Lichen Planus, and Vitiligo."
112,Radiology,Chest Radiology,2,The 'Golden S-sign' on a chest X-ray is seen in:,Pleural effusion,Right Upper Lobe collapse,Pneumothorax,Middle lobe syndrome,Right Upper Lobe collapse,The S-curve of Golden is caused by Right Upper Lobe collapse combined with a mass in the right hilum.
113,Medicine,Cardiology,3,A 55-year-old smoker presents with exertional chest pain relieved by rest. ECG is normal at rest. What is the next best step for diagnosis?,Troponin T,Echocardiography,Treadmill Test (TMT),Coronary Angiography,Treadmill Test (TMT),"In stable angina, the TMT is the preferred initial stress test to demonstrate inducible ischemia."
114,Medicine,Pulmonology,2,Which of the following is the most common opportunistic infection in HIV-infected individuals with CD4 count < 200?,Tuberculosis,Pneumocystis jirovecii pneumonia,Toxoplasmosis,Cryptococcosis,Pneumocystis jirovecii pneumonia,PCP is the classic AIDS-defining illness when CD4 count falls below 200 cells/uL.
115,Psychiatry,Psychopharmacology,3,The therapeutic serum levels of Lithium for maintenance therapy are:,0.4 - 0.6 mEq/L,0.6 - 1.2 mEq/L,1.5 - 2.0 mEq/L,2.0 - 2.5 mEq/L,0.6 - 1.2 mEq/L,The therapeutic range is narrow; 0.6–1.2 mEq/L is standard. Levels > 1.5 indicate toxicity.
116,Dermatology,Viral Infections,2,Tzanck smear showing multinucleated giant cells is seen in:,Pemphigus,Herpes Simplex,Molluscum Contagiosum,Warts,Herpes Simplex,Tzanck smear is used for rapid diagnosis of Herpes (Simplex and Zoster); giant cells represent viral infection of keratinocytes.
117,Radiology,CNS Radiology,3,The 'Sunburst' appearance on CT head after contrast is suggestive of:,Glioblastoma,Meningioma,Schwannoma,Metastasis,Meningioma,Meningiomas often show intense uniform enhancement with a 'sunburst' radial vascular pattern and a 'dural tail'.
118,Medicine,Endocrinology,2,Which hormone is deficient in Diabetes Insipidus?,Insulin,Aldosterone,Antidiuretic Hormone (ADH),Oxytocin,Antidiuretic Hormone (ADH),Diabetes Insipidus is caused by deficiency of ADH (Central) or resistance to it (Nephrogenic).
119,Medicine,Gastroenterology,3,A patient presents with dysphagia to both solids and liquids and 'Bird's beak' appearance on barium swallow. What is the manometric hallmark?,High LES pressure,Lack of peristalsis in distal esophagus,Incomplete LES relaxation,All of the above,All of the above,"Achalasia Cardia is characterized by high LES resting pressure, failure of LES to relax, and aperistalsis."
120,Psychiatry,Neurodevelopmental,1,What is the most common type of hallucination in Schizophrenia?,Visual,Auditory,Olfactory,Tactile,Auditory,Auditory hallucinations (second or third-person voices) are the most frequent type in schizophrenia.
121,Dermatology,STDs,4,The drug of choice for Early Syphilis is:,Doxycycline,Azithromycin,Benzathine Penicillin G,Ceftriaxone,Benzathine Penicillin G,"A single IM dose of 2.4 million units of Benzathine Penicillin G is the treatment of choice for primary, secondary, and early latent syphilis."
122,Radiology,Nuclear Medicine,2,Which radioisotope is used for Bone Scanning?,Iodine-131,Technetium-99m MDP,Thallium-201,Gallium-67,Technetium-99m MDP,Tc-99m Methylene Diphosphonate is the most common tracer used for bone scintigraphy.
123,Medicine,Neurology,3,A 60-year-old male presents with acute onset weakness of the right side of the body and expressive aphasia. The lesion is most likely in:,Left Middle Cerebral Artery,Right Middle Cerebral Artery,Left Anterior Cerebral Artery,Posterior Cerebral Artery,Left Middle Cerebral Artery,Expressive (Broca's) aphasia and contralateral hemiparesis are typical features of dominant (Left) MCA territory stroke.
124,Medicine,Infectious Disease,1,The 'Wintrich's sign' or cracked pot sound on percussion is found in:,Lung Abscess,Pneumothorax,Cavity communicating with bronchus,Pleural effusion,Cavity communicating with bronchus,Cracked-pot resonance (bruit de pot fêlé) occurs when a superficial cavity communicates with a bronchus.
125,Psychiatry,Alcoholism,4,Which of the following drugs is used as a 'Deterrent therapy' for alcohol dependence?,Naltrexone,Acamprosate,Disulfiram,Diazepam,Disulfiram,"Disulfiram blocks aldehyde dehydrogenase, causing an unpleasant reaction (vomiting, palpitations) when alcohol is consumed."
126,Dermatology,Fungal,1,Kerneig's sign is associated with:,Meningitis,Scabies,Tinea Capitis,Psoriasis,Meningitis,"Kernig's sign is a clinical test for meningeal irritation. (Mistake in category: this is Medicine/Neuro, but frequently asked in context of infectious rashes)."
127,Radiology,Abdominal,3,Investigation of choice for acute cholecystitis is:,Abdominal X-ray,Ultrasonography,CT Scan,HIDA Scan,Ultrasonography,USG is the best initial investigation for gallstones and acute cholecystitis. HIDA scan is the most sensitive but not initial.
128,Medicine,Hematology,2,Which clotting factor has the shortest half-life?,Factor II,Factor VII,Factor IX,Factor X,Factor VII,"Factor VII has the shortest half-life (approx. 4-6 hours), which is why PT is the first to be affected in liver disease or Vitamin K deficiency."
129,Medicine,Cardiology,3,A patient with persistent hypertension is found to have a 'radial-femoral delay' and rib notching on X-ray. What is the diagnosis?,Coarctation of Aorta,Renal Artery Stenosis,Pheochromocytoma,Aortic Regurgitation,Coarctation of Aorta,Rib notching (due to collateral circulation) and radial-femoral delay are classic signs of Aortic Coarctation.
130,Psychiatry,Emergency,3,What is the most common side effect of Electroconvulsive Therapy (ECT)?,Fractures,Retrograde Amnesia,Arrhythmia,Hypertension,Retrograde Amnesia,Memory loss (primarily retrograde) is the most frequent adverse effect of ECT.
131,Dermatology,Infestations,2,The primary treatment for Scabies is:,Permethrin 5% cream,Griseofulvin,Clotrimazole,Benzyl Peroxide,Permethrin 5% cream,Topical Permethrin applied overnight is the gold standard for treating scabies.
132,Radiology,Chest Radiology,2,Which imaging finding is characteristic of Tetralogy of Fallot?,Snowman appearance,Boot-shaped heart,Egg on a string,Box-shaped heart,Boot-shaped heart,Coeur-en-sabot (boot-shaped heart) is seen in TOF due to right ventricular hypertrophy and an upturned apex.
133,Medicine,Endocrinology,4,Which of the following is used for the screening of Primary Hyperaldosteronism?,Serum Electrolytes,Plasma Renin and Aldosterone ratio,CT Abdomen,Saline Suppression Test,Plasma Renin and Aldosterone ratio,A high PAC (Aldosterone) to PRA (Renin) ratio is the best screening test for Conn's Syndrome.
134,Medicine,Rheumatology,1,Podagra refers to acute gouty arthritis of:,Wrist,Knee,1st Metatarsophalangeal joint,Elbow,1st Metatarsophalangeal joint,Inflammation of the 1st MTP joint (big toe) is the most common presentation of an acute gout attack.
135,Psychiatry,Schizophrenia,2,A patient believes that their internal organs are rotting or have disappeared. This is called:,Capgras delusion,Cotard's syndrome,Fregoli delusion,Nihilistic delusion,Cotard's syndrome,Cotard's syndrome (delusion of negation) is often seen in severe depression or schizophrenia.
136,Dermatology,Skin Tumors,3,The most common skin cancer globally is:,Squamous Cell Carcinoma,Basal Cell Carcinoma,Malignant Melanoma,Kaposi Sarcoma,Basal Cell Carcinoma,"BCC is the most common cancer in humans, typically appearing on sun-exposed areas like the face."
137,Radiology,CNS Radiology,4,"On MRI, a 'ring-enhancing lesion' with central necrosis in an elderly patient is most likely:",Brain Abscess,Glioblastoma Multiforme,Toxoplasmosis,Neurocysticercosis,Glioblastoma Multiforme,"GBM is the most common primary malignant brain tumor in adults, presenting with irregular ring enhancement."
138,Medicine,Nephrology,2,What is the most common cause of Acute Tubular Necrosis (ATN)?,Heavy metals,Ischemia,Antibiotics,Contrast media,Ischemia,Ischemic injury due to hypotension/sepsis is the leading cause of ATN in hospitalized patients.
139,Medicine,Gastroenterology,3,Anti-Saccharomyces cerevisiae antibodies (ASCA) are typically found in:,Ulcerative Colitis,Crohn's Disease,Celiac Disease,Whipple's Disease,Crohn's Disease,"ASCA is a serological marker for Crohn's, while p-ANCA is more common in Ulcerative Colitis."
140,Psychiatry,Defense Mechanisms,2,A medical student is very anxious about his exam but decides to put off worrying about it until the weekend is over. This is:,Repression,Suppression,Sublimation,Rationalization,Suppression,"Suppression is a mature, conscious defense mechanism of delaying attention to an impulse or conflict."
141,Dermatology,Vesiculobullous,3,Direct Immunofluorescence (DIF) showing 'linear IgG' along the basement membrane is diagnostic of:,Pemphigus Vulgaris,Bullous Pemphigoid,Dermatitis Herpetiformis,Systemic Lupus,Bullous Pemphigoid,Linear IgG/C3 at the BMZ indicates Bullous Pemphigoid. Fish-net IgG indicates Pemphigus.
142,Radiology,Chest Radiology,3,Kerley B lines on a chest X-ray are a sign of:,Pulmonary Embolism,Pulmonary Edema,Pneumonia,Lung Cancer,Pulmonary Edema,"Kerley B lines represent fluid in the interlobular septa, typically seen in congestive heart failure."
143,Medicine,Neurology,2,What is the classic triad of Normal Pressure Hydrocephalus (NPH)?,"Fever, Headache, Vomiting","Tremor, Rigidity, Bradykinesia","Dementia, Gait Ataxia, Urinary Incontinence","Aphasia, Apraxia, Agnosia","Dementia, Gait Ataxia, Urinary Incontinence",This triad is known as 'Hakim-Adams' triad for NPH.
144,Medicine,Cardiology,1,What is the most common cause of Heart Failure in India?,Diabetes,Coronary Artery Disease,Rheumatic Heart Disease,Hypertension,Coronary Artery Disease,"CAD has surpassed RHD as the most common cause of heart failure in most parts of the world, including India."
145,Psychiatry,Substance Use,2,"A patient with chronic heroin use presents with runny nose, yawning, and piloerection. These are signs of:",Intoxication,Overdose,Withdrawal,Tolerance,Withdrawal,"Opioid withdrawal is characterized by lacrimation, rhinorrhea, yawning, and 'cold turkey' (piloerection)."
146,Dermatology,Pigmentary,2,The 'Mask of pregnancy' is:,Melasma,Chloasma,Linea Nigra,Vitiligo,Chloasma,Chloasma or Melasma is the hyperpigmentation of the face seen during pregnancy.
147,Radiology,Physics,1,Which imaging modality uses 'Hounsfield Units' (HU)?,MRI,CT Scan,X-ray,Ultrasound,CT Scan,HU is a quantitative scale for describing radiodensity in Computed Tomography.
148,Medicine,Infectious Disease,3,The investigation of choice for Malaria is:,Rapid Antigen Test,Peripheral Smear (Thick and Thin),QBC,PCR,Peripheral Smear (Thick and Thin),Peripheral smear is the gold standard for parasite identification and quantification.
149,Medicine,Hematology,2,Target cells on a peripheral smear are most commonly associated with:,Iron Deficiency Anemia,Thalassemia,Hereditary Spherocytosis,B12 Deficiency,Thalassemia,"Target cells (codocytes) are seen in Thalassemia, liver disease, and splenectomy."
150,Psychiatry,Child Psychiatry,3,"A 7-year-old child is unable to sit still, constantly interrupts, and has poor school performance despite high intelligence. What is the diagnosis?",Autism,ADHD,Conduct Disorder,Oppositional Defiant Disorder,ADHD,"Attention Deficit Hyperactivity Disorder is characterized by inattention, hyperactivity, and impulsivity."
151,Medicine,Rheumatology,4,"A 40-year-old female presents with dry eyes, dry mouth, and positive anti-Ro/SSA antibodies. What is the diagnosis?",SLE,Sjögren's Syndrome,Systemic Sclerosis,Dermatomyositis,Sjögren's Syndrome,"Sjögren's is an autoimmune destruction of exocrine glands, leading to sicca symptoms (dryness)."
152,Dermatology,Skin Tumors,2,Which skin lesion is known for having 'pearly borders' and telangiectasia?,Squamous Cell Ca,Basal Cell Ca,Melanoma,Seborrheic Keratosis,Basal Cell Ca,"Rodent ulcer or BCC characteristically presents with pearly, rolled borders."
153,Radiology,Physics,2,Which material is used as the target in an X-ray tube?,Copper,Lead,Tungsten,Aluminum,Tungsten,Tungsten is used due to its high atomic number (Z=74) and high melting point.
154,Medicine,Cardiology,3,"A patient with pericarditis presents with distant heart sounds, hypotension, and raised JVP. What is the diagnosis?",Cardiac Tamponade,Myocardial Infarction,Aortic Dissection,Pulmonary Embolism,Cardiac Tamponade,"This is Beck's Triad, indicating a medical emergency from pericardial fluid compression."
155,Psychiatry,Eating Disorders,4,Which of the following is the most common cause of death in Anorexia Nervosa?,Suicide,Arrhythmia due to electrolyte imbalance,Infection,Renal Failure,Arrhythmia due to electrolyte imbalance,Hypokalemia and cardiac structural changes lead to fatal arrhythmias in severely underweight patients.
156,Dermatology,Hair,1,Tinea Capitis is a fungal infection of the:,Body,Scalp,Nails,Groin,Scalp,Tinea capitis is a dermatophytosis of the hair and scalp.
157,Radiology,CNS Radiology,2,A 'Doughnut sign' on a brain scan is characteristic of:,Meningioma,Brain Abscess,Glioma,Hematoma,Brain Abscess,"Brain abscess typically shows a thin, regular ring of enhancement."
158,Medicine,Neurology,3,"A 30-year-old male has acute, ascending symmetrical muscle weakness. Deep tendon reflexes are absent. Diagnosis?",GBS,Polio,Transverse Myelitis,Myasthenia,GBS,Guillain-Barré Syndrome is an acute post-infectious polyneuropathy presenting with ascending paralysis.
